version;ns1:name;id;ns1:name2;ns1:homepage;ns1:version;ns1:mediadata;id3;ns1:firstname;ns1:lastname;id4;ns1:name5;ns1:model;id6;ns1:firstname7;ns1:lastname8;id9;ns1:name10;id11;ns1:name12;ns1:location;ns1:latitude;ns1:longitude;id13;ns1:name14;ns1:o2;ns1:he;id15;id16;ref;ns1:divenumber;ns1:datetime;ns1:leadquantity;ref17;ns1:tankvolume;ns1:tankpressurebegin;ns1:tankpressureend;ns1:alarm;ns1:depth;ns1:divetime;ref18;ns1:tankpressure;ns1:temperature;ns1:greatestdepth;ns1:averagedepth;ns1:diveduration;ns1:para;ns1:ratingvalue;ns1:visibility;ns1:divetrip
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;9.35;800;;15460000;;18.89;8.327;2980;;;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;9.49;820;;15360000;286.15;18.89;8.327;2980;;;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;8.52;840;;15310000;;18.89;8.327;2980;;;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;10.06;860;;15200000;;18.89;8.327;2980;;;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;12.53;880;;15050000;285.15;18.89;8.327;2980;;;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;15.41;900;;14870000;283.15;18.89;8.327;2980;;;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;18.54;920;;14670000;282.15;18.89;8.327;2980;;;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;18.47;940;;14410000;280.15;18.89;8.327;2980;;;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;17.77;960;;14230000;;18.89;8.327;2980;;;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;16.34;980;;13970000;;18.89;8.327;2980;;;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;14.07;1000;;13870000;281.15;18.89;8.327;2980;;;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;13.28;1020;;13740000;282.15;18.89;8.327;2980;;;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;13.05;1040;;13640000;;18.89;8.327;2980;;;;
3.2.0;Subsurface Divelog;subsurface;Subsurface Team;http://subsurface-divelog.org/;3;;;;;;;;;;;allbase;Subsurface Divebase;1c6f1b28;Kaatialan louhos;Kaatialan louhos;62.679789;23.486996;mix(21/0);air;0.21;0;idm1521768176;idm1521768176;;;;;mix(21/0);15;19430000;6880000;;12.8;1060;;13560000;283.15;18.89;8.327;2980;;;;
